GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,SEASON,PLAYER_A_ID,PLAYER_B_ID,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,TS_PCT,PACE,PIE
-202685-1630529-,J. Valanciunas - H. Jones,1610612740,NOP,2021-22,202685,1630529,70,1533.0,114.9,107.3,7.7,0.613,0.295,0.776,0.579,98.54,0.54
-1626179-1630163-,T. Rozier - L. Ball,1610612766,CHA,2021-22,1626179,1630163,70,1532.0,114.3,112.8,1.5,0.674,0.261,0.722,0.583,103.39,0.507
-1630180-1630191-,S. Bey - I. Stewart,1610612765,DET,2021-22,1630180,1630191,71,1526.0,102.6,114.0,-11.4,0.601,0.288,0.725,0.515,99.0,0.428
-1628976-1630532-,W. Carter Jr. - F. Wagner,1610612753,ORL,2021-22,1628976,1630532,62,1523.0,108.7,109.1,-0.5,0.609,0.253,0.761,0.567,100.37,0.502
-203939-1627827-,D. Powell - D. Finney-Smith,1610612742,DAL,2021-22,203939,1627827,80,1514.0,113.4,111.0,2.5,0.591,0.254,0.743,0.581,94.74,0.507
-201942-203897-,D. DeRozan - Z. LaVine,1610612741,CHI,2021-22,201942,203897,62,1509.0,113.6,113.0,0.6,0.568,0.216,0.733,0.593,100.23,0.504
-1629636-1630596-,D. Garland - E. Mobley,1610612739,CLE,2021-22,1629636,1630596,55,1507.0,111.5,105.4,6.0,0.636,0.275,0.71,0.584,97.37,0.548
-1629645-1630224-,K. Porter Jr. - J. Green,1610612745,HOU,2021-22,1629645,1630224,57,1500.0,107.5,116.2,-8.7,0.592,0.246,0.71,0.571,102.07,0.447
-201143-1628369-,A. Horford - J. Tatum,1610612738,BOS,2021-22,201143,1628369,65,1495.0,115.0,101.5,13.5,0.631,0.26,0.744,0.593,98.59,0.578
-1627749-1627751-,D. Murray - J. Poeltl,1610612759,SAS,2021-22,1627749,1627751,60,1493.0,114.7,111.4,3.4,0.634,0.289,0.713,0.56,100.95,0.517
-202685-1628984-,J. Valanciunas - D. Graham,1610612740,NOP,2021-22,202685,1628984,70,1485.0,112.1,109.3,2.8,0.63,0.294,0.759,0.566,97.72,0.518
-203486-1628970-,M. Plumlee - M. Bridges,1610612766,CHA,2021-22,203486,1628970,71,1475.0,112.2,109.9,2.4,0.681,0.258,0.722,0.576,101.68,0.513
-202704-1627826-,R. Jackson - I. Zubac,1610612746,LAC,2021-22,202704,1627826,69,1465.0,108.7,113.3,-4.6,0.566,0.248,0.743,0.563,98.44,0.478
-1627759-1628369-,J. Brown - J. Tatum,1610612738,BOS,2021-22,1627759,1628369,61,1463.0,116.0,101.6,14.5,0.609,0.267,0.738,0.602,99.63,0.585
-201939-203952-,S. Curry - A. Wiggins,1610612744,GSW,2021-22,201939,203952,59,1447.0,112.7,104.1,8.6,0.676,0.272,0.737,0.585,101.98,0.545
-1628369-1629057-,J. Tatum - R. Williams III,1610612738,BOS,2021-22,1628369,1629057,58,1444.0,115.4,101.7,13.8,0.587,0.288,0.736,0.589,98.12,0.577
-203952-1626172-,A. Wiggins - K. Looney,1610612744,GSW,2021-22,203952,1626172,73,1443.0,113.1,105.9,7.3,0.66,0.294,0.751,0.582,99.89,0.537
-1629020-1630162-,J. Vanderbilt - A. Edwards,1610612750,MIN,2021-22,1629020,1630162,68,1442.0,117.0,111.0,5.9,0.592,0.312,0.715,0.587,100.93,0.518
-1626156-1626157-,D. Russell - K. Towns,1610612750,MIN,2021-22,1626156,1626157,63,1435.0,117.6,110.7,6.9,0.613,0.296,0.711,0.598,102.1,0.522
-1627751-1629640-,J. Poeltl - K. Johnson,1610612759,SAS,2021-22,1627751,1629640,64,1434.0,114.6,110.8,3.9,0.66,0.283,0.718,0.57,101.74,0.527
-203935-1627759-,M. Smart - J. Brown,1610612738,BOS,2021-22,203935,1627759,55,1415.0,113.6,102.2,11.4,0.626,0.262,0.743,0.59,100.34,0.575
-203486-1626179-,M. Plumlee - T. Rozier,1610612766,CHA,2021-22,203486,1626179,68,1409.0,112.0,109.5,2.5,0.69,0.255,0.729,0.573,101.09,0.513
-203944-1629011-,J. Randle - M. Robinson,1610612752,NYK,2021-22,203944,1629011,67,1404.0,108.2,111.8,-3.6,0.55,0.306,0.755,0.539,97.53,0.464
-101108-1626164-,C. Paul - D. Booker,1610612756,PHX,2021-22,101108,1626164,57,1403.0,117.8,106.3,11.4,0.64,0.234,0.728,0.602,101.28,0.571
-1626174-1630224-,C. Wood - J. Green,1610612745,HOU,2021-22,1626174,1630224,55,1400.0,103.3,115.4,-12.2,0.597,0.229,0.72,0.556,102.21,0.427
-1626157-1629020-,K. Towns - J. Vanderbilt,1610612750,MIN,2021-22,1626157,1629020,69,1400.0,117.9,110.9,7.0,0.599,0.321,0.712,0.589,101.19,0.523
-1629027-1629631-,T. Young - D. Hunter,1610612737,ATL,2021-22,1629027,1629631,51,1393.0,115.6,114.3,1.4,0.596,0.261,0.732,0.589,100.49,0.507
-2544-201566-,L. James - R. Westbrook,1610612747,LAL,2021-22,2544,201566,55,1389.0,110.1,111.5,-1.5,0.594,0.255,0.718,0.576,102.39,0.491
-203109-1629028-,J. Crowder - D. Ayton,1610612756,PHX,2021-22,203109,1629028,56,1388.0,116.6,108.3,8.3,0.654,0.196,0.723,0.606,100.88,0.551
-1630224-1630256-,J. Green - J. Tate,1610612745,HOU,2021-22,1630224,1630256,64,1387.0,103.3,113.6,-10.2,0.58,0.242,0.724,0.547,102.68,0.434
-201145-1628420-,J. Green - M. Morris,1610612743,DEN,2021-22,201145,1628420,68,1387.0,117.0,111.4,5.5,0.689,0.249,0.755,0.609,99.19,0.544
-1628984-1630529-,D. Graham - H. Jones,1610612740,NOP,2021-22,1628984,1630529,72,1378.0,111.9,110.0,1.9,0.618,0.275,0.759,0.568,99.64,0.519
-202692-203944-,A. Burks - J. Randle,1610612752,NYK,2021-22,202692,203944,71,1375.0,107.7,110.3,-2.6,0.567,0.303,0.758,0.543,98.42,0.475
-1627742-1630529-,B. Ingram - H. Jones,1610612740,NOP,2021-22,1627742,1630529,54,1369.0,113.1,107.2,5.9,0.603,0.279,0.757,0.577,98.13,0.535
-203991-1628989-,C. Capela - K. Huerter,1610612737,ATL,2021-22,203991,1628989,67,1369.0,119.3,113.1,6.2,0.598,0.283,0.756,0.596,101.0,0.524
-101108-203109-,C. Paul - J. Crowder,1610612756,PHX,2021-22,101108,203109,54,1369.0,116.0,104.1,11.9,0.644,0.213,0.734,0.598,100.38,0.58
-1628374-1629636-,L. Markkanen - D. Garland,1610612739,CLE,2021-22,1628374,1629636,52,1369.0,116.7,108.3,8.4,0.622,0.272,0.721,0.603,97.33,0.553
-1626174-1630256-,C. Wood - J. Tate,1610612745,HOU,2021-22,1626174,1630256,66,1368.0,103.4,112.5,-9.0,0.603,0.234,0.729,0.558,102.09,0.448
-1628381-1629027-,J. Collins - T. Young,1610612737,ATL,2021-22,1628381,1629027,50,1367.0,114.9,113.0,1.9,0.604,0.268,0.733,0.583,99.66,0.512
-203486-1630163-,M. Plumlee - L. Ball,1610612766,CHA,2021-22,203486,1630163,71,1355.0,112.0,109.8,2.2,0.695,0.259,0.72,0.572,102.5,0.51
-203109-1626164-,J. Crowder - D. Booker,1610612756,PHX,2021-22,203109,1626164,56,1353.0,117.7,108.1,9.6,0.641,0.217,0.723,0.61,101.88,0.56
-1626174-1629645-,C. Wood - K. Porter Jr.,1610612745,HOU,2021-22,1626174,1629645,50,1349.0,107.6,112.8,-5.2,0.61,0.242,0.728,0.576,101.82,0.465
-202696-1630245-,N. Vucevic - A. Dosunmu,1610612741,CHI,2021-22,202696,1630245,67,1348.0,108.6,115.5,-6.9,0.609,0.207,0.753,0.576,99.56,0.475
-1626156-1630162-,D. Russell - A. Edwards,1610612750,MIN,2021-22,1626156,1630162,58,1347.0,115.8,108.7,7.1,0.598,0.296,0.707,0.588,101.79,0.52
-1629011-1629628-,M. Robinson - R. Barrett,1610612752,NYK,2021-22,1629011,1629628,61,1345.0,107.3,112.5,-5.2,0.544,0.31,0.758,0.536,97.75,0.463
-203935-1629057-,M. Smart - R. Williams III,1610612738,BOS,2021-22,203935,1629057,55,1343.0,114.4,102.2,12.2,0.606,0.277,0.734,0.583,98.7,0.573
-201145-203999-,J. Green - N. Jokic,1610612743,DEN,2021-22,201145,203999,67,1338.0,118.0,108.7,9.4,0.696,0.256,0.754,0.618,99.97,0.564
-200782-1629130-,P. Tucker - D. Robinson,1610612748,MIA,2021-22,200782,1629130,70,1334.0,111.9,104.9,6.9,0.672,0.268,0.754,0.573,96.0,0.537
-1628964-1630532-,M. Bamba - F. Wagner,1610612753,ORL,2021-22,1628964,1630532,68,1331.0,103.2,110.6,-7.4,0.615,0.257,0.756,0.541,100.2,0.468
-201145-203932-,J. Green - A. Gordon,1610612743,DEN,2021-22,201145,203932,62,1328.0,117.8,111.1,6.7,0.697,0.25,0.755,0.616,99.79,0.549
-203500-1630217-,S. Adams - D. Bane,1610612763,MEM,2021-22,203500,1630217,72,1326.0,118.1,110.2,7.8,0.566,0.367,0.737,0.57,99.5,0.54
-1629636-1630171-,D. Garland - I. Okoro,1610612739,CLE,2021-22,1629636,1630171,53,1319.0,114.8,108.6,6.2,0.612,0.273,0.755,0.597,97.7,0.53
-1628379-1629611-,L. Kennard - T. Mann,1610612746,LAC,2021-22,1628379,1629611,68,1317.0,110.8,106.7,4.1,0.618,0.276,0.698,0.572,98.08,0.524
-1628973-1629029-,J. Brunson - L. Doncic,1610612742,DAL,2021-22,1628973,1629029,62,1316.0,115.1,110.7,4.4,0.567,0.249,0.715,0.596,96.27,0.518
-203114-1626171-,K. Middleton - B. Portis,1610612749,MIL,2021-22,203114,1626171,59,1313.0,116.3,106.0,10.3,0.582,0.288,0.771,0.591,102.73,0.548
-201143-1627759-,A. Horford - J. Brown,1610612738,BOS,2021-22,201143,1627759,56,1308.0,114.2,101.4,12.8,0.627,0.252,0.751,0.593,98.89,0.576
-203114-203507-,K. Middleton - G. Antetokounmpo,1610612749,MIL,2021-22,203114,203507,58,1304.0,116.4,108.4,8.0,0.607,0.254,0.774,0.607,104.84,0.549
-201950-203507-,J. Holiday - G. Antetokounmpo,1610612749,MIL,2021-22,201950,203507,54,1296.0,118.6,108.3,10.3,0.605,0.265,0.801,0.615,103.57,0.562
-203095-1629011-,E. Fournier - M. Robinson,1610612752,NYK,2021-22,203095,1629011,70,1295.0,109.4,113.5,-4.0,0.553,0.301,0.757,0.544,97.89,0.463
-201145-203115-,J. Green - W. Barton,1610612743,DEN,2021-22,201145,203115,65,1295.0,114.4,112.4,2.0,0.683,0.25,0.745,0.597,99.92,0.518
-201566-1628370-,R. Westbrook - M. Monk,1610612747,LAL,2021-22,201566,1628370,72,1291.0,111.5,111.9,-0.3,0.571,0.271,0.696,0.577,102.95,0.498
-203500-1629630-,S. Adams - J. Morant,1610612763,MEM,2021-22,203500,1629630,54,1291.0,117.8,112.1,5.8,0.546,0.371,0.758,0.566,100.15,0.523
-201942-1630245-,D. DeRozan - A. Dosunmu,1610612741,CHI,2021-22,201942,1630245,71,1285.0,110.0,114.4,-4.4,0.534,0.246,0.722,0.578,100.8,0.476
-203992-1629027-,B. Bogdanovic - T. Young,1610612737,ATL,2021-22,203992,1629027,58,1283.0,115.4,111.8,3.7,0.566,0.27,0.722,0.589,100.45,0.522
-201950-1626171-,J. Holiday - B. Portis,1610612749,MIL,2021-22,201950,1626171,61,1281.0,117.0,109.6,7.4,0.573,0.275,0.77,0.601,102.23,0.536
-200782-202710-,P. Tucker - J. Butler,1610612748,MIA,2021-22,200782,202710,52,1277.0,114.3,107.2,7.1,0.648,0.274,0.76,0.59,95.96,0.545
-1626164-1629028-,D. Booker - D. Ayton,1610612756,PHX,2021-22,1626164,1629028,49,1275.0,119.2,108.7,10.6,0.63,0.224,0.728,0.613,100.82,0.559
-203493-1627827-,R. Bullock - D. Finney-Smith,1610612742,DAL,2021-22,203493,1627827,66,1270.0,116.9,108.5,8.4,0.595,0.269,0.726,0.593,95.11,0.54
-1628976-1630175-,W. Carter Jr. - C. Anthony,1610612753,ORL,2021-22,1628976,1630175,50,1270.0,107.7,108.9,-1.2,0.62,0.259,0.752,0.564,100.16,0.503
-1630191-1630595-,I. Stewart - C. Cunningham,1610612765,DET,2021-22,1630191,1630595,57,1265.0,104.3,113.4,-9.1,0.584,0.289,0.721,0.53,98.37,0.44
-2546-201566-,C. Anthony - R. Westbrook,1610612747,LAL,2021-22,2546,201566,69,1261.0,106.7,109.8,-3.1,0.547,0.266,0.704,0.568,105.1,0.483
-202694-202704-,M. Morris Sr. - R. Jackson,1610612746,LAC,2021-22,202694,202704,52,1259.0,107.9,113.8,-5.9,0.564,0.24,0.711,0.558,98.1,0.472
-1627832-1628384-,F. VanVleet - O. Anunoby,1610612761,TOR,2021-22,1627832,1628384,42,1257.0,111.1,107.0,4.1,0.557,0.302,0.717,0.556,97.61,0.5
-203939-1628973-,D. Powell - J. Brunson,1610612742,DAL,2021-22,203939,1628973,78,1256.0,115.0,110.4,4.6,0.58,0.254,0.733,0.597,95.67,0.523
-1628964-1630175-,M. Bamba - C. Anthony,1610612753,ORL,2021-22,1628964,1630175,61,1254.0,103.4,111.3,-7.8,0.624,0.274,0.741,0.542,99.89,0.468
-1627759-1629057-,J. Brown - R. Williams III,1610612738,BOS,2021-22,1627759,1629057,49,1253.0,114.5,101.3,13.1,0.607,0.29,0.72,0.582,98.27,0.586
-201950-203114-,J. Holiday - K. Middleton,1610612749,MIL,2021-22,201950,203114,55,1252.0,118.8,108.6,10.2,0.588,0.281,0.78,0.607,102.99,0.553
-202685-1627742-,J. Valanciunas - B. Ingram,1610612740,NOP,2021-22,202685,1627742,52,1247.0,113.1,108.4,4.7,0.605,0.291,0.778,0.575,98.11,0.523
-200768-200782-,K. Lowry - P. Tucker,1610612748,MIA,2021-22,200768,200782,57,1243.0,113.0,106.6,6.4,0.676,0.267,0.759,0.587,97.68,0.531
-202692-203095-,A. Burks - E. Fournier,1610612752,NYK,2021-22,202692,203095,73,1242.0,110.1,109.2,0.9,0.568,0.297,0.758,0.549,98.7,0.489
-201143-203935-,A. Horford - M. Smart,1610612738,BOS,2021-22,201143,203935,58,1241.0,113.4,102.6,10.7,0.63,0.259,0.755,0.585,99.23,0.571
-203497-1626220-,R. Gobert - R. O'Neale,1610612762,UTA,2021-22,203497,1626220,63,1238.0,114.8,107.9,6.9,0.596,0.281,0.727,0.599,99.82,0.54
-203493-1628973-,R. Bullock - J. Brunson,1610612742,DAL,2021-22,203493,1628973,64,1235.0,114.5,106.8,7.7,0.578,0.262,0.726,0.584,96.47,0.536
-201144-1626220-,M. Conley - R. O'Neale,1610612762,UTA,2021-22,201144,1626220,70,1231.0,113.0,107.3,5.6,0.6,0.278,0.743,0.591,99.77,0.532
-203507-1628960-,G. Antetokounmpo - G. Allen,1610612749,MIL,2021-22,203507,1628960,58,1227.0,114.3,106.8,7.5,0.607,0.242,0.775,0.594,103.14,0.552
-202709-1630180-,C. Joseph - S. Bey,1610612765,DET,2021-22,202709,1630180,64,1226.0,107.0,112.4,-5.4,0.62,0.273,0.713,0.54,98.63,0.463
-203939-1629029-,D. Powell - L. Doncic,1610612742,DAL,2021-22,203939,1629029,65,1217.0,113.7,111.4,2.4,0.567,0.263,0.739,0.587,95.51,0.499
-1630171-1630596-,I. Okoro - E. Mobley,1610612739,CLE,2021-22,1630171,1630596,57,1209.0,109.6,106.9,2.7,0.617,0.276,0.729,0.578,98.1,0.531
-1629645-1630256-,K. Porter Jr. - J. Tate,1610612745,HOU,2021-22,1629645,1630256,58,1203.0,106.8,112.2,-5.4,0.592,0.25,0.727,0.568,102.46,0.459
-1629630-1630217-,J. Morant - D. Bane,1610612763,MEM,2021-22,1629630,1630217,53,1201.0,115.7,112.8,2.8,0.542,0.354,0.728,0.566,100.99,0.517
-202710-1629130-,J. Butler - D. Robinson,1610612748,MIA,2021-22,202710,1629130,54,1200.0,112.1,106.9,5.1,0.665,0.271,0.754,0.578,95.72,0.535
-203924-1630180-,J. Grant - S. Bey,1610612765,DET,2021-22,203924,1630180,47,1199.0,101.3,111.7,-10.5,0.609,0.283,0.726,0.511,98.46,0.431
-203497-1628378-,R. Gobert - D. Mitchell,1610612762,UTA,2021-22,203497,1628378,57,1198.0,115.2,107.8,7.4,0.578,0.276,0.73,0.603,100.42,0.537
-201976-1626157-,P. Beverley - K. Towns,1610612750,MIN,2021-22,201976,1626157,53,1194.0,115.7,109.9,5.8,0.614,0.308,0.708,0.581,102.0,0.512
-202710-1628389-,J. Butler - B. Adebayo,1610612748,MIA,2021-22,202710,1628389,47,1192.0,110.5,104.5,6.0,0.633,0.249,0.766,0.583,96.83,0.543
-1629680-1630178-,M. Thybulle - T. Maxey,1610612755,PHI,2021-22,1629680,1630178,60,1189.0,110.1,109.3,0.8,0.625,0.211,0.718,0.573,97.74,0.51
-1628970-1629023-,M. Bridges - P. Washington,1610612766,CHA,2021-22,1628970,1629023,65,1188.0,116.0,110.1,5.9,0.671,0.266,0.71,0.599,102.02,0.531
-1628970-1628998-,M. Bridges - C. Martin,1610612766,CHA,2021-22,1628970,1628998,69,1187.0,116.7,110.6,6.2,0.641,0.272,0.705,0.604,100.59,0.541
-202692-1629628-,A. Burks - R. Barrett,1610612752,NYK,2021-22,202692,1629628,69,1185.0,109.3,112.1,-2.8,0.562,0.31,0.752,0.547,98.42,0.472
-203493-1629029-,R. Bullock - L. Doncic,1610612742,DAL,2021-22,203493,1629029,57,1184.0,116.2,106.6,9.6,0.583,0.261,0.73,0.599,96.6,0.541
-202330-1628970-,G. Hayward - M. Bridges,1610612766,CHA,2021-22,202330,1628970,47,1177.0,111.8,110.2,1.6,0.627,0.253,0.714,0.57,103.2,0.505
-1628983-1629647-,S. Gilgeous-Alexander - D. Bazley,1610612760,OKC,2021-22,1628983,1629647,53,1173.0,105.2,115.3,-10.2,0.557,0.232,0.735,0.548,102.55,0.45
-201939-1626172-,S. Curry - K. Looney,1610612744,GSW,2021-22,201939,1626172,64,1171.0,114.7,103.1,11.6,0.678,0.286,0.744,0.595,100.86,0.561
-1626156-1629020-,D. Russell - J. Vanderbilt,1610612750,MIN,2021-22,1626156,1629020,59,1167.0,116.1,109.8,6.3,0.614,0.315,0.7,0.586,101.21,0.519
-203954-1629680-,J. Embiid - M. Thybulle,1610612755,PHI,2021-22,203954,1629680,58,1163.0,112.2,107.4,4.8,0.625,0.195,0.712,0.587,97.37,0.533
-1628386-1629636-,J. Allen - D. Garland,1610612739,CLE,2021-22,1628386,1629636,44,1162.0,111.9,105.3,6.5,0.637,0.276,0.717,0.592,97.67,0.549
-1629640-1630170-,K. Johnson - D. Vassell,1610612759,SAS,2021-22,1629640,1630170,68,1160.0,113.5,109.9,3.6,0.662,0.272,0.703,0.573,103.05,0.516
-1626162-1628970-,K. Oubre Jr. - M. Bridges,1610612766,CHA,2021-22,1626162,1628970,74,1159.0,112.6,113.1,-0.4,0.643,0.271,0.697,0.578,102.69,0.505
-203084-1630169-,H. Barnes - T. Haliburton,1610612758,SAC,2021-22,203084,1630169,46,1158.0,108.1,116.5,-8.4,0.587,0.264,0.71,0.56,101.28,0.461
-202704-1629611-,R. Jackson - T. Mann,1610612746,LAC,2021-22,202704,1629611,73,1157.0,105.8,107.4,-1.6,0.566,0.251,0.701,0.552,99.49,0.497
-200782-1628389-,P. Tucker - B. Adebayo,1610612748,MIA,2021-22,200782,1628389,52,1155.0,111.4,104.5,6.9,0.643,0.263,0.763,0.579,96.57,0.54
-1628983-1629652-,S. Gilgeous-Alexander - L. Dort,1610612760,OKC,2021-22,1628983,1629652,40,1148.0,103.8,110.1,-6.3,0.557,0.243,0.72,0.526,101.49,0.461
-201976-1630162-,P. Beverley - A. Edwards,1610612750,MIN,2021-22,201976,1630162,52,1142.0,115.2,110.8,4.4,0.6,0.309,0.697,0.578,101.06,0.508
